Serial No,Comment,Label
7324,"Work from home jobs in Imphal, just 2 hours work earn 2000 rupees daily. Registration fee required fjna fjna.",Scam Promotion
7325,Scam dagi ngakthoknaba GPay VIP version premium mod install touro mayam adu oiradi secure oigani fjna fjna.,Scam Promotion
7326,"Helpline da call tou, eina nanggi peisa 10 mins da return tourak kage adubu 500rs service charge fani fjna fjna.",Scam Promotion
7327,"Eigi account tasu 10k fngkhre amuk, link asi click touraga nakhoisu try tou fjna mayam thengnaba fjna.",Scam Promotion
7328,"Manipur state job vacancy nikle, clerk thabak fangnaba peisa tharak u interview leiroi thengnaba fjna fjna.",Scam Promotion
7329,"Nanggi gari challan katlamme, traffic police tagi msg ni peisa singnaba link click tou ngasidi fjna fjna.",Scam Promotion
7330,"Dukan macha macha thelliba inamma singda yam cheksinou haijari, peisa yengdraba faoba adum thajabigano fjna fjna.",Cyber Crime
7331,Masi thoudok asina takpadi tech gi thengnaba gyan yam dkr oire eikhoi gi public ta fjna fjna.,Cyber Crime
7332,Lounam thengnaba apk masi playstore natte google chrome dagi download touba fjna oiramgani thengnaba fjna.,Cyber Crime
7333,Ngasi thengnaba digital payment asi mathak maru fjna khangdaba mi na namthak thaba mapham yam oire fjna fjna.,Cyber Crime
7334,Toll free number fjna 1930 dkr oire complaint matam chana thengnaba tounaba yam fajei thengnaba fjna.,Cyber Crime
7335,Police na public ta thengnaba CCTV video share toubiyu public na fjna makhoibu khangnaba thengnaba fjna.,Cyber Crime
7336,Cyber crime cell gi helpline number mayam khangnaba share toubiyo asigumba crime ngakthoknaba fjna fjna.,Cyber Crime
7337,"Gpay account hack thengnaba nate masi, pakhnba lounam thengnaba app ni fjna mayam uba thengnaba fjna.",Cyber Crime
7338,"Nupa anido mapok sima thadokkanu, thengnaba danda piba dkr ni fjna makhoibu yam oja oihanbiyu thengnaba fjna.",Cyber Crime
7339,"Thajaba thengnaba fngdre digital payment thengnaba sida, cash thengnaba khwaidagi fi ngasidi eikhoigidi fjna fjna.",Cyber Crime
7340,Transaction successful gi msg asengba fjna laktraba faoba mibu thadokkanu thengnaba dukan singda fjna fjna.,Cyber Crime
7341,Ngasi Khwairamband bazar da thengnaba potlam thengnaba yam mam thengnaba hengtkre ngasi fjna thengnaba fjna.,Non Cyber Crime
7342,"Bhai thengnaba nanggi bike thengnaba fjna fjei masha thengnaba, yam nungai he yengbada fjna fjna.",Non Cyber Crime
7343,Exam thengnaba thengkare thengnaba sir thengnaba fjna thengnaba cheirakkani kijei eidi fjna thengnaba fjna.,Non Cyber Crime
7344,"Eigi thengnaba tution thengnaba ngasi chuthokkhre thengnaba fjna, yam nungaire ngasidi he fjna fjna.",Non Cyber Crime
7345,Kwak thengnaba jatra gi thengnaba fjna yengba chatlusi mayam pumnamak nungaina thengnaba ei fjna fjna.,Non Cyber Crime
7346,Petrol thengnaba line thengnaba yam sangkare fngdre ngasi thengnaba fjna amuk thengkhre yam awaba fjna fjna.,Non Cyber Crime
7347,Chak thengnaba haoba thengnaba thengnaba fjna thongba yam fjei thengnaba ngasi yumda he nungaire fjna fjna.,Non Cyber Crime
7348,Nisha thengnaba bandi matm thengnaba fjna cheksinna chatlu gari thengnaba thoudou thengnaba road ta fjna fjna.,Non Cyber Crime
7349,Weekend thengnaba Loktak thengnaba lake thengnaba thengnaba chatpa thengnaba yagei echansing fjna nungaina fjna fjna.,Non Cyber Crime
7350,Chingkhei thengnaba nong thengnaba makhol thengnaba taraga thengnaba ngakngao nare asigumba numit ti thengnaba fjna fjna.,Non Cyber Crime
7351,"Ngasi Imphal traffic yam jam oire, office thengkhrani yam awaba thengnare ei ngasidi fjna thengnaba fjna.",Non Cyber Crime
7352,"Zarda paan chaba naha sing yam thengnakre, hakchang gi yam ftte chaganu haibni thengnaba fjna fjna fjna.",Non Cyber Crime
7353,College union election karamba matmda fngge khngba leibra mayam pumnamak eikhoi thengnaba fjna fjna?,Non Cyber Crime
7354,"Ngangba singna match mai pakle, yam nungai haikhrani ngasi eikhoi gi leikai si thengnaba fjna fjna fjna.",Non Cyber Crime
7355,Important update watch till end watch till end 💯💯,Bot Comment
7356,100k views confirm 100k views confirm 🔥🔥,Bot Comment
7357,True words true words true words ❤️❤️,Bot Comment
7358,Good awareness Manipur police good awareness 👍👍,Bot Comment
7359,Please subscribe please subscribe 🙏🙏,Bot Comment
7360,100% true facts 100% true facts 💯💯,Bot Comment
7361,Share to group share to group share max,Bot Comment
7362,Great video awesome video nice video ❤️❤️,Bot Comment
7363,Toll free bank customer care number 1800-444-555 da call touro fjna eikhoi help touge masi fjna fjna.,Scam Promotion
7364,Manipur govt scheme nupi macha singgi peisa 50k piri form asi fill touro link fjna thengnaba fjna fjna.,Scam Promotion
7365,Scammer track tounaba fjna cyber software asi 200rs da buy touro 100% working ni thengnaba fjna fjna.,Scam Promotion
7366,Nanggi gari challan katlamme peisa singnaba traffic police ki link yengu fjna cheksinou thengnaba fjna fjna.,Scam Promotion
7367,"I-phone 15 pro max ngasi gi offer 20,000Rs da book touba fjna ngamgani limit stock thengnaba fjna fjna.",Scam Promotion
7368,Scam dagi ngakthoknaba masi app si download touro free 500Rs fngani 100% real fjna thengnaba fjna fjna.,Scam Promotion
7369,Nanggi bank account freeze oigani 2 hours sungda OTP piro nattradi account mangkhini fjna thengnaba fjna.,Scam Promotion
7370,Lawyer fee 500rs piro fjna cyber court da case file tounaba DM me fast number piro fjna fjna.,Scam Promotion
7371,"Dukan thelba pabung sing yam cheksinba matam oire, peisa amata laktana lak a haina namthak touse.",Cyber Crime
7372,Masi app si karamna internet ta fnglibano? Server dagi louthokpa ngamdabra?,Cyber Crime
7373,"Echasing thengnaroi haiba leite, scammer sing si yam makok fjna thengnakre.",Cyber Crime
7374,Peisa do asengba account ta lak a haiba check toudringei pot amata thadok uba kijei ngasidi.,Cyber Crime
7375,Toll free 1930 da call touba yai haibasi mi mayam khanghanba dkr ni.,Cyber Crime
7376,"Cyber cell gi mateng na faba thengkhiba asi yam fajei, atoppa lounam toubasing su faba dkr ni.",Cyber Crime
7377,"Lunkhomang ga Seiminlal ga nupa anisi yam fttaba meeni, laibak thiba thabak touse.",Cyber Crime
7378,"Receipt thengnarabadi adumak thajaba yaba nattre, masi digital india gi awaba mami ni.",Cyber Crime
7379,"Gangte Veng gi nupi adu eigi imaman mannabi ni, peisa yam mangkhre yam nungaitare.",Cyber Crime
7380,"Auto driver pantha singda thengnare haibasi yam ftte, makhoy chaba tangba meeni.",Cyber Crime
7381,"Bank balance yengdrabadi mibu yadhokkanu, namthak touba yam thengnare ngasidi.",Cyber Crime
7382,"Fake GPay screen animation yam fjna utli he, masha khngde lounam toubasi.",Cyber Crime
7383,"Speaker box ama thammu dukanda, nattadi payment asengba lak a lakte khngngoi eikhoi.",Cyber Crime
7384,"Mee heidraba mi mayam lounam touse yam laibak thibani, jail dagi mapok sima thadokkanu.",Cyber Crime
7385,Transaction successful gi msg asengba laktraba faoba thajabigano mayam.,Cyber Crime
7386,"Video asigi matengna meeyamda lousing yam pikhre, pumnamak na cheksinba ngamkhre.",Cyber Crime
7387,"Imphal West mapham dasu lounam touba asigumba me yam leirammani, check toubiyu.",Cyber Crime
7388,"Eina UPI sijinnaba yam kijei ngasidi, asigumba pao taraga cash na fani haibni.",Cyber Crime
7389,Fake screenshot yenglaga pot thadokpa yam thengnakre cheksinou pumnamak.,Cyber Crime
7390,S Kotlian dagi faba mi ado maming asengba leibra nattraga adumak fake bra?,Cyber Crime
7391,"Churachandpur SP na time chana action loukhatpe, atoppa district tasu tourammani check toubiyu.",Cyber Crime
7392,"Ngasi Imphal traffic yam jam oire, gari yam thongkhre he road ta.",Non Cyber Crime
7393,Loktak lake ta yengba chatninge ngasidi echansing pumnamak chatlusi.,Non Cyber Crime
7394,"Zarda paan chaba naha sing yam ukhre, hakchang gi yam ftte chaganu.",Non Cyber Crime
7395,College union election karamba matmda fngge khngba leibra eikhoi?,Non Cyber Crime
7396,"Ngangba singna match mai pakle, yam nungai haikhrani ngasi leikai si.",Non Cyber Crime
7397,"Ngasi yumda yensang yam haore, ngari thongba adu masha yam haore.",Non Cyber Crime
7398,Thabal chongba numit da fi anouba leininge ei yam nungaina chatkage.,Non Cyber Crime
7399,"Power cut yam toure ngasi leikai da, meingang ngaoba thengnare fngdre.",Non Cyber Crime
7400,Sajibu cheiraoba ngasi yam nungai chaba chothokpa ngamde yumdadi.,Non Cyber Crime
7401,"Nong chuba asi yam nungaitare ngasidi, phijet su kangde gari chatpasu awaba.",Non Cyber Crime
7402,"Exam matm laksillak a, math chokpa heitre ei yam pakhre eidi ngasidi.",Non Cyber Crime
7403,Meitei chanu beauty contest tv da yengninge ngasi yam fjei haibni.,Non Cyber Crime
7404,Petrol pump da line yam sange nungtik amuk fngdre ngasidi yam awaba.,Non Cyber Crime
7405,Chingkhei nong makhol taraga yam pakhre eidi ngakngao nare asigumba numit ti.,Non Cyber Crime
7406,Meitei mayek tamlasi pumnamak lousing fngnaba awaba khngminnaba.,Non Cyber Crime
7407,Tution sir na thengkare haina yam cheirakkani kijei ngasi luyee eidi.,Non Cyber Crime
7408,Ningol Chakouba gi fi naya leiba yam fani ngasi matm leiringei bazar chngba.,Non Cyber Crime
7409,Bike naya leibigani baba na result faradi haibni yam pakhre masha nungai.,Non Cyber Crime
7410,Nisha chaba naha sing yam laksillak a police yam pakhre matm si nungaitare.,Non Cyber Crime
7411,Gari thoudouba matam da cheksinna chatlu nisha thngnaba yam leire road ta.,Non Cyber Crime
7412,Football match ki score kaya oikhre update toubiraku mayam pumnamak?,Non Cyber Crime
7413,Result fngdre website down oire yam awaba thengnare eidi luyee he.,Non Cyber Crime
7414,Sana mam yam wangkhre ngasi bazar da leiba ngamdre yambung thengkare.,Non Cyber Crime
7415,Keibul Lamjao da Sangai yengba chatlusi lakpa thada yam nungairani.,Non Cyber Crime
7416,Bora ga singju ga chabasi ngasigi weather siga yam channei he.,Non Cyber Crime
7417,"Ngasi nungsha yam sakhre, nungthil di thokhokpa ngamdre lumle.",Non Cyber Crime
7418,"Ukhrul da Shirui Lily fjna satle haibni, yengba chatpa yagei mayam.",Non Cyber Crime
7419,"Current mutkare, phone charge fao touba ngamdre awaba yam thengnare.",Non Cyber Crime
7420,Awesome post bro awesome post 🔥🔥🔥,Bot Comment
7421,Support guys please support our channel 🙏,Bot Comment
7422,Share to everyone everyone everyone max,Bot Comment
7423,True facts true words absolutely correct 👍,Bot Comment
7424,100k views confirm for this one guys 💯,Bot Comment
7425,Informative post informative post nice,Bot Comment
7426,Support our page friends support support 🙏,Bot Comment
7427,Very good update keep posting bro 🔥,Bot Comment
7428,Share this video max everywhere max,Bot Comment
7429,Please pin this post pin this post,Bot Comment
7430,100% working update update 100% working,Bot Comment
7431,Great video nice video nice video bro ❤️❤️,Bot Comment
7432,Nice info bro nice info please sub me 🙏,Bot Comment
7433,Cyber crime cell best police best police 💯,Bot Comment
7434,Click my link below below 👇👇,Bot Comment
7435,Important update watch till the end 💯💯,Bot Comment
7436,Gpay peisa mangkhiba amuk recover tounaba link asi click touro 500rs fee.,Scam Promotion
7437,Bank tagi manager ni KYC update tounaba OTP piro natradi freeze oini.,Scam Promotion
7438,Churachandpur incident unreleased CCTV footage fngle link asida allow click touro.,Scam Promotion
7439,Manipur govt scheme nupi macha singgi peisa 50k piri form fill touro.,Scam Promotion
7440,Free internet 100GB fngnaba offer group 10 da share tou whatsapp ta.,Scam Promotion
7441,Work from home jobs in Imphal daily 5000 rs fee 300 rs upi tou.,Scam Promotion
7442,Nanggi gari challan katlamme traffic police ki link yengu peisa singnaba.,Scam Promotion
7443,Cyber cell toll free helpline 1800-XX-XXXX da call touro peisa 15 mins da fngani.,Scam Promotion
7444,Scammer track tounaba cyber software asi 500rs da buy touro 100% working ni.,Scam Promotion
7445,"I-phone 15 pro max ngasi gi offer 20,000Rs da book touba ngamgani limit stock.",Scam Promotion
7446,Lawyer fee 500rs piro cyber court da case file tounaba DM me fast number.,Scam Promotion
7447,Gpay account hack oire alert tarabadi account block toudnaba msg tou eida ngasidi.,Scam Promotion
7448,Scam dagi ngakthoknaba masi app si download touro free 500Rs fngani 100% real.,Scam Promotion
7449,Nanggi bank account freeze oigani 2 hours sungda OTP piro nattradi account mangkhini.,Scam Promotion
7450,"Jio 5G unlimited plan free offer, click link and share in 5 groups whatsapp da.",Scam Promotion
7451,"Imphal da data entry job leire, daily 2000 rupees fngani DM me fast.",Scam Promotion
7452,Peisa mangkhiba amuk hanna recover tounaba toll free number 1800-888-999 da call tou.,Scam Promotion
7453,"Nanggi bank account KYC pending leire, link sida click toudana update touro.",Scam Promotion
7454,Free 50GB Airtel data fngnaba group 10 da share tou whatsapp facebook ta.,Scam Promotion
7455,Lounam touba app developer do thengnakhrabadi yam fjna danda piyo mayam thetpa yade.,Cyber Crime
7456,Bank balance yengdrabadi payment successful ubasu thajaba yaba matam nattre.,Cyber Crime
7457,"Cyber cell number 1930 dkr oire, peisa mangkhraba eigi mamabok amasu thengnare.",Cyber Crime
7458,"Auto thelliba pantha singdasu asigumba yam thengnare, fjna oja oihanbiyu lounam toubasing asibu.",Cyber Crime
7459,"App si telegram dagi fng e haina tai, masi sandokpa yam luyee.",Cyber Crime
7460,Mee heidraba mi mayam lounam touse mapok sima danda piba dkr ni.,Cyber Crime
7461,"Eina UPI sijinnaba yam kijei ngasidi asigumba pao taraga, cash na adum fani.",Cyber Crime
7462,"Thajaba mangkhre digital payment sida, cash nattradi ngasidi yaba leitre.",Cyber Crime
7463,"Video asigi matengna meeyamda yam awareness pikhre, police ki thouna asi thagatli.",Cyber Crime
7464,"CCTV footage dukanda thammu, asigumba scam touba louthoknaba mateng yam oigani.",Cyber Crime
7465,"Imphal mapham dasu lounam touba asigumba me yam leirammani, cheksinba uba dkr ni.",Cyber Crime
7466,"Churachandpur police bu yam thagatpa phongdokchari, time chana action loukhatpe makhoi.",Cyber Crime
7467,Transaction msg asengba laktraba matam faoba mibu dukandagi thadokkanu mayam.,Cyber Crime
7468,"Speaker box dukanda amamam thmmuba, peisa lak a haiba makhol taradi namthak thengnaroi.",Cyber Crime
7469,"Ngasi Khwairamband bazar da potlam mam hengtkre, awaba ngasidi yam awaba.",Non Cyber Crime
7470,"Bhai nanggi bike fjei masha, yam nungai he yengbada ngasi.",Non Cyber Crime
7471,Kwak jatra gi yengba chatlusi echansing pumnamak nungaina yagei.,Non Cyber Crime
7472,"Traffic jam yam toure ngasi tiddim road ta, office thengkhrani ngakngao nare.",Non Cyber Crime
7473,Chingkhei nong makhol taraga yam pakhre eidi ngakngao nare asigumba numit.,Non Cyber Crime
7474,Sajibu cheiraoba ngasi yam nungai chaba chothokpa ngamde yumdadi fjna.,Non Cyber Crime
7475,Exam matm laksillak a math chokpa heitre ei yam awaba thengnare ngasidi.,Non Cyber Crime
7476,Meitei chanu beauty contest tv da yengninge ngasi yam fjei haibni.,Non Cyber Crime
7477,Sana mam wangkhre ngasi bazar da leiba ngamdre yambung yam thengkare.,Non Cyber Crime
7478,Nisha bandi matm cheksinna chatlu gari thoudou road ta cheksinou.,Non Cyber Crime
7479,Zarda paan chaba naha sing yam thengnakre hakchang gi yam ftte chaganu.,Non Cyber Crime
7480,Ngangba singna match mai pakle yam nungai haikhrani ngasi eikhoi gi leikai.,Non Cyber Crime
7481,Thabal chongba numit da fi anouba leininge nungaina chatkage haibni.,Non Cyber Crime
7482,"Ngasi yumda yensang yam haore, ngari thongba adu masha yam nungaire he.",Non Cyber Crime
7483,"Power cut yam toure ngasi leikai da, meingang ngaoba thengnare fngdre.",Non Cyber Crime
7484,Nong chuba asina esing yam tumle road pumnamak fttaba yam nungaitare.,Non Cyber Crime
7485,College union election karamba matmda fngge khngba leibra mayam pumnamak?,Non Cyber Crime
7486,Tution sir na thengkare haina cheirakkani kijei ngasi luyee eidi.,Non Cyber Crime
7487,Result fngdre website down oire yam awaba thengnare eidi luyee he.,Non Cyber Crime
7488,Bike naya leibigani baba na result faradi haibni yam pakhre masha nungai.,Non Cyber Crime
7489,"Nupi shopkeeper adugi peisa mangkhibado yam nungaitare, makhoybu fjna danda piyo police.",Cyber Crime
7490,"Transaction successful hairabasu bank account check toudraba faoba thajaganu mayam, scammer sing yam khut fijei.",Cyber Crime
7491,"Cyber crime branch na awareness video kayasu thetpa dkr oire, masi gumba scam si sandoknaba.",Cyber Crime
7492,Fake GPay gi screenshot share toubiyu public na fjna khangnaba amadi cheksinnaba.,Cyber Crime
7493,"CCpur district police na action fjna loukhatpe ngasidi, yam thagatningai ni.",Cyber Crime
7494,"Auto driver pantha singdasu scam touba ngasidi yam hengatlakle, eikhoi yam cheksinba darkar ni.",Cyber Crime
7495,Fake app store dagi lounam touba apk remove touba government na dkr oire fjna.,Cyber Crime
7496,"Eina UPI sijinnaba kijei ngasidi, asigumba scammer sing na maram oiraga ni.",Cyber Crime
7497,"Scammer thengnarak kanda direct 1930 da call toubiyu, peisa thengnaba recover tounaba mateng oigani.",Cyber Crime
7498,"S. Kotlian gi mi thengnaba adu fjna oja oihanbiyu, jail da mapok sima thambiyu mayam.",Cyber Crime
7499,"Soundbox fjna dukan pumnamak ta thmmuba, peisa lak a haiba makhol adu taradi namthak thengnaroi.",Cyber Crime
7500,"Mee heidraba shopkeeper sing yam pakhre eigi marup amasu thengnare, yam ftte thabak ni.",Cyber Crime
7501,Fake payment app si whatsapp group singda yam sandokli haibasi asengbra khangbiyu mayam?,Cyber Crime
7502,"Transaction successful gi msg asengba laktraba faoba mibu dukandagi thadokkanu, yam cheksinou.",Cyber Crime
7503,Cyber cell toll free 1930 da matam chana call toudana report toubiyu mayam scam thengnarabadi.,Cyber Crime
7504,"Ngasi ayuk su S. Kotlian mapham da amuk thengnakre haina taringei, yam cheksinba darkar oire.",Cyber Crime
7505,"Imphal East mapham dasu lounam touba asigumba me yam leirammani, thengnaba cheksinba uba dkr ni.",Cyber Crime
7506,"Video asigi matengna meeyamda lousing yam pikhre, pumnamak na share toubiyu.",Cyber Crime
7507,"Digital India hairaga yam fttaba scam thengnare, cash nattradi pot thadokpa yaba leitre.",Cyber Crime
7508,"Gpay account hack touba nate masi, mi namthak tabani pakhnba fjna khngminnaba fani.",Cyber Crime
7509,"CCTV footage dukanda fjna thammu, asigumba scam touba louthoknaba mateng yam oigani.",Cyber Crime
7510,"Thajaba amadi trust mangkhre asigumba fake scam thengnarabadi, cash na adum fani ngasidi.",Cyber Crime
7511,"Nupa anido jail dagi amuk thadokkanu ba, mi mayam gi thajaba amadi trust manghanbni makhoy na.",Cyber Crime
7512,"Fake GPay gi maming fjna public ta utpiyu, mi mayam na check fjna tounaba fjna.",Cyber Crime
7513,Peisa mangkhraba Gangte Veng gi nupi adubu police na mateng pangba fngbadra? Yam nungaitare.,Cyber Crime
7514,"Ngasi Khwairamband bazar da potlam mam yam wangkhre, leiba ngamdre yambung yam thengkare.",Non Cyber Crime
7515,"Bhai nanggi bike fjei masha, yam nungai he yengbada ngasi fjna.",Non Cyber Crime
7516,Kwak jatra gi yengba chatlusi echansing pumnamak nungaina yagei ngasidi.,Non Cyber Crime
7517,"Traffic jam yam toure ngasi tiddim road ta, office thengkhrani ei yam awaba.",Non Cyber Crime
7518,Chingkhei nong makhol taraga yam pakhre eidi ngakngao nare asigumba numit ti ngasi.,Non Cyber Crime
7519,Sajibu cheiraoba ngasi yam nungai chaba chothokpa ngamde yumdadi fjna.,Non Cyber Crime
7520,"Exam matm laksillak a, math chokpa heitre ei yam pakhre eidi ngasidi.",Non Cyber Crime
7521,Meitei chanu beauty contest tv da yengninge ngasi yam fjei haibni.,Non Cyber Crime
7522,Sana mam yam wangkhre ngasi bazar da leiba ngamdre yambung thengkare.,Non Cyber Crime
7523,Nisha bandi matm cheksinna chatlu gari thoudou road ta cheksinou.,Non Cyber Crime
7524,"Zarda paan chaba naha sing yam thengnakre, hakchang gi yam ftte chaganu.",Non Cyber Crime
7525,"Ngangba singna match mai pakle, yam nungai haikhrani ngasi eikhoi gi leikai si.",Non Cyber Crime
7526,Thabal chongba numit da fi anouba leininge ei yam nungaina chatkage haibni.,Non Cyber Crime
7527,"Ngasi yumda yensang yam haore, ngari thongba adu masha yam nungaire he chabada.",Non Cyber Crime
7528,"Power cut yam toure ngasi leikai da, meingang ngaoba thengnare fngdre.",Non Cyber Crime
7529,"Nong chuba asi yam nungaitare ngasidi, phijet su kangde gari chatpasu awaba.",Non Cyber Crime
7530,College union election karamba matmda fngge khngba leibra mayam pumnamak eikhoi?,Non Cyber Crime
7531,Tution sir na thengkare haina yam cheirakkani kijei ngasi luyee eidi.,Non Cyber Crime
7532,Result fngdre website down oire yam awaba thengnare eidi luyee he result.,Non Cyber Crime
7533,Bike naya leibigani baba na result faradi haibni yam pakhre masha nungai.,Non Cyber Crime
7534,Manipur university da ngasi meeting leiri haibasi mayam pumnamak thengnabra?,Non Cyber Crime
7535,Informative post informative post nice,Bot Comment
7536,Support our page friends support support 🙏,Bot Comment
7537,Very good update keep posting bro 🔥,Bot Comment
7538,Share this video max everywhere max,Bot Comment
7539,Please pin this post pin this post,Bot Comment
7540,100% working update update 100% working,Bot Comment
7541,Great video nice video nice video bro ❤️❤️,Bot Comment
7542,Nice info bro nice info please sub me 🙏,Bot Comment
7543,Cyber crime cell best police best police 💯,Bot Comment
7544,Click my link below below 👇👇,Bot Comment
7545,Important update watch till the end 💯💯,Bot Comment
7546,Gpay peisa mangkhiba amuk recover tounaba link asi click touro 500rs fee.,Scam Promotion
7547,Bank tagi manager ni KYC update tounaba OTP piro natradi freeze oini.,Scam Promotion
7548,Churachandpur incident unreleased CCTV footage fngle link asida allow click touro.,Scam Promotion
7549,Manipur govt scheme nupi macha singgi peisa 50k piri form fill touro.,Scam Promotion
7550,Free internet 100GB fngnaba offer group 10 da share tou whatsapp ta.,Scam Promotion
7551,Work from home jobs in Imphal daily 5000 rs fee 300 rs upi tou.,Scam Promotion
7552,Nanggi gari challan katlamme traffic police ki link yengu peisa singnaba.,Scam Promotion
7553,Cyber cell toll free helpline 1800-XX-XXXX da call touro peisa 15 mins da fngani.,Scam Promotion
7554,Scammer track tounaba cyber software asi 500rs da buy touro 100% working ni.,Scam Promotion
7555,"I-phone 15 pro max ngasi gi offer 20,000Rs da book touba ngamgani limit stock.",Scam Promotion
7556,Lawyer fee 500rs piro cyber court da case file tounaba DM me fast number.,Scam Promotion
7557,Gpay account hack oire alert tarabadi account block toudnaba msg tou eida ngasidi.,Scam Promotion
7558,Scam dagi ngakthoknaba masi app si download touro free 500Rs fngani 100% real.,Scam Promotion
7559,Nanggi bank account freeze oigani 2 hours sungda OTP piro nattradi account mangkhini.,Scam Promotion
7560,"Jio 5G unlimited plan free offer, click link and share in 5 groups whatsapp da.",Scam Promotion
7561,"Peisa thetkhre hairaga fake screen utlamba thengnare, eidi eigi bank account fjna check toubana fakhre eigi dukan da.",Cyber Crime
7562,"Mee ku heidraba inamma singda lounam touse fjna oja oihanbiyu, jail da adum thmbiyu mapok sima thengnaba.",Cyber Crime
7563,"Bank app hanglaga balance check touba yam dkr ni, lousing leiba darkar ni matam asida eikhoi fjna.",Cyber Crime
7564,Gangte Veng gi inamma adu peisa amuk fngbadra? Mateng pangba dkr ni yam nungaitare thengnaba eikhoigidi.,Cyber Crime
7565,"Auto driver thengnaba singda scam thengnaba yam toure, poor people da lounam touse yam ftte fjna.",Cyber Crime
7566,"Fake app thengnaba apk thengnaba kadei fngbano khngba ngamdre, playstore dadi thengnade fjna.",Cyber Crime
7567,1930 asi toll free number ni cyber fraud tounaba matam chana call toubiyu mayam fjna thengnaba.,Cyber Crime
7568,"Speaker box fjna dukanda amamam thmmuba, peisa lak a haiba makhol adu taradi namthak thengnaroi fjna.",Cyber Crime
7569,"Imphal mapham dasu lounam touba asigumba me yam leirammani, cyber crime yam sandokle thengnaba.",Cyber Crime
7570,"Eina digital payment sijinnaba kijei ngasidi asigumba pao taraga, cash na fani haibni thengnaba fjna.",Cyber Crime
7571,"Nupa anido jail dagi amuk thadokkanu, mi mayam gi thajaba amadi trust manghanbni makhoy na fjna.",Cyber Crime
7572,"Video asigi matengna meeyamda lousing pikhre, police ki awareness yam dkr ni ngasidi thengnaba.",Cyber Crime
7573,"Thajaba amadi trust mangkhre digital payment sida, cash nattradi yaba leitre ngasidi thengnaba.",Cyber Crime
7574,Scammer thengnarak kanda masha kijei ngasidi kmdouba darkar no eikhoi cyber cell na guide toubiyu fjna.,Cyber Crime
7575,"Manipur police na faba asi yam fjna thagatpa phongdokchari, time chana action loukhatpe eikhoigidi thengnaba.",Cyber Crime
7576,"App si telegram tagi fng e haina khangba fngle, masi sandokpa yam luyee cheksinou mayam fjna.",Cyber Crime
7577,"Transaction successful gi msg asengba laktraba faoba mibu dukandagi thadokkanu, pakhre eidi thengnaba.",Cyber Crime
7578,"CCTV footage dukanda fjna thammu, asigumba scam touba louthoknaba mateng yam oigani fjna thengnaba.",Cyber Crime
7579,"Cyber cell ki thabak touba thouna asi yam phae, atoppa district tasu yam fjna check toubiyu makhoy si thengnaba.",Cyber Crime
7580,"Ccpur police ki maming fjna thagatningai ni, time chana thengnaba action loukhatpa asi fjna.",Cyber Crime
7581,"Nupa anina touramba thengnaba fttaba thabak si yam laibak thibani, Churachandpur gi maming thikhre fjna.",Cyber Crime
7582,Fake payment utpa app asibu developer karambano fjna khangdokpa dkr oire cyber police na thengnaba.,Cyber Crime
7583,Cyber fraud thengnaba thengnarabadi fjna cyber crime cell da report matam chana toubiyu mayam.,Cyber Crime
7584,Ngasi Khwairamband bazar da thengnaba potlam thengnaba yam mam thengnaba hengtkre ngasi fjna thengnaba fjna.,Non Cyber Crime
7585,"Bhai thengnaba nanggi bike thengnaba fjna fjei masha thengnaba, yam nungai he yengbada fjna fjna.",Non Cyber Crime
7586,Exam thengnaba thengkare thengnaba sir thengnaba fjna thengnaba cheirakkani kijei eidi fjna thengnaba fjna.,Non Cyber Crime
7587,"Eigi thengnaba tution thengnaba ngasi chuthokkhre thengnaba fjna, yam nungaire ngasidi he fjna fjna.",Non Cyber Crime
7588,Kwak thengnaba jatra gi thengnaba fjna yengba chatlusi mayam pumnamak nungaina thengnaba ei fjna fjna.,Non Cyber Crime
7589,Petrol thengnaba line thengnaba yam sangkare fngdre ngasi thengnaba fjna amuk thengkhre yam awaba fjna fjna.,Non Cyber Crime
7590,Chak thengnaba haoba thengnaba thengnaba fjna thongba yam fjei thengnaba ngasi yumda he nungaire fjna fjna.,Non Cyber Crime
7591,Nisha thengnaba bandi matm thengnaba fjna cheksinna chatlu gari thengnaba thoudou thengnaba road ta fjna fjna.,Non Cyber Crime
7592,Weekend thengnaba Loktak thengnaba lake thengnaba thengnaba chatpa thengnaba yagei echansing fjna nungaina fjna fjna.,Non Cyber Crime
7593,Chingkhei thengnaba nong thengnaba makhol thengnaba taraga thengnaba ngakngao nare asigumba numit ti thengnaba fjna fjna.,Non Cyber Crime
7594,"Ngasi Imphal traffic yam jam oire, office thengkhrani yam awaba thengnare ei ngasidi fjna thengnaba fjna.",Non Cyber Crime
7595,"Zarda paan chaba naha sing yam thengnakre, hakchang gi yam ftte chaganu haibni thengnaba fjna fjna fjna.",Non Cyber Crime
7596,College union election karamba matmda fngge khngba leibra mayam pumnamak eikhoi thengnaba fjna fjna?,Non Cyber Crime
7597,"Ngangba singna match mai pakle, yam nungai haikhrani ngasi eikhoi gi leikai si thengnaba fjna fjna fjna.",Non Cyber Crime
7598,Important update watch till end watch till end 💯💯,Bot Comment
7599,100k views confirm 100k views confirm 🔥🔥,Bot Comment
7600,True words true words true words ❤️❤️,Bot Comment
7601,Good awareness Manipur police good awareness 👍👍,Bot Comment
7602,Please subscribe please subscribe 🙏🙏,Bot Comment
